name=Article, model=product.product, id=354, state=base
name=Badge de ludification, model=gamification.badge, id=659, state=base
name=Blacklist Email, model=mail.blacklist, id=167, state=base
name=Bon de commande, model=sale.order, id=567, state=base
name=Canal de discussion, model=mail.channel, id=177, state=base
name=Commande fournisseur, model=purchase.order, id=553, state=base
name=Compte, model=account.account, id=399, state=base
name=Compte analytique, model=account.analytic.account, id=345, state=base
name=Contact, model=res.partner, id=84, state=base
name=Discussion par email, model=mail.thread, id=161, state=base
name=Défi de ludification, model=gamification.challenge, id=656, state=base
name=Gestion de l'email cc, model=mail.thread.cc, id=163, state=base
name=Incorporer la blacklist, model=mail.thread.blacklist, id=162, state=base
name=Inscription à l'évènement, model=event.registration, id=585, state=base
name=Journal, model=account.journal, id=403, state=base
name=Liste Noire de Téléphones, model=phone.blacklist, id=349, state=base
name=Lot/N° série, model=stock.production.lot, id=472, state=base
name=Membre de l'équipe commerciale., model=crm.team.member, id=564, state=base
name=Mixin de la Liste Noire de Téléphones, model=mail.thread.phone, id=350, state=base
name=Modèle d'article, model=product.template, id=352, state=base
name=Modèles pour les comptes, model=account.account.template, id=429, state=base
name=Paiements, model=account.payment, id=420, state=base
name=Pièce comptable, model=account.move, id=415, state=base
name=Préconfigurer pour créer une écriture pendant la correspondance entre des factures et des paiements, model=account.reconcile.model, id=412, state=base
name=Rebut, model=stock.scrap, id=478, state=base
name=Relevé bancaire, model=account.bank.statement, id=426, state=base
name=Session du point de vente, model=pos.session, id=532, state=base
name=Sondage, model=survey.survey, id=664, state=base
name=Transfert, model=stock.picking, id=474, state=base
name=Équipe commerciale, model=crm.team, id=565, state=base
name=Évènement, model=event.event, id=581, state=base
name=API SMS, model=sms.api, id=378, state=base
name=API d'IAP Enrichissement de Pistes, model=iap.enrich.api, id=154, state=base
name=Abonnés au document, model=mail.followers, id=168, state=base
name=Accrued Orders Wizard, model=account.accrued.orders.wizard, id=457, state=base
name=Accès Modèle, model=ir.model.access, id=8, state=base
name=Actifs, model=ir.asset, id=17, state=base
name=Action client, model=ir.actions.client, id=26, state=base
